id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category
49,7,tamarong_batt_supply_04,5.968,2026-04-16T08:05:38.918906,4,8,0,fresh
50,7,tamarong_batt_supply_04,5.99,2026-04-16T08:05:49.860825,4,8,0,fresh
51,7,tamarong_batt_supply_04,5.962,2026-04-16T08:05:59.434532,4,8,0,fresh
52,7,tamarong_batt_supply_04,5.9435,2026-04-16T08:06:09.158895,4,8,0,fresh
53,7,tamarong_batt_supply_04,5.906,2026-04-16T08:06:17.449962,4,8,1,fresh
54,7,tamarong_batt_supply_04,5.9305,2026-04-16T08:06:27.657290,4,8,1,fresh
55,7,tamarong_batt_supply_04,5.9155,2026-04-16T08:06:40.116998,4,8,1,fresh
119,7,tamarong_batt_supply_04,4.24,2026-04-16T10:47:03.550740,4,10,161,moderate
120,7,tamarong_batt_supply_04,4.2175,2026-04-16T10:47:17.445417,4,10,162,moderate
121,7,tamarong_batt_supply_04,4.3225,2026-04-16T10:47:43.266362,4,10,162,moderate
122,7,tamarong_batt_supply_04,4.275,2026-04-16T10:47:56.076835,4,10,162,moderate
123,7,tamarong_batt_supply_04,4.4015,2026-04-16T10:48:08.903827,4,10,162,moderate
245,7,tamarong_batt_supply_04,3.751,2026-04-16T11:35:50.473486,4,11,210,moderate
247,7,tamarong_batt_supply_04,3.8225,2026-04-16T11:36:31.624221,4,11,211,moderate
248,7,tamarong_batt_supply_04,3.817,2026-04-16T11:36:43.431652,4,11,211,moderate
249,7,tamarong_batt_supply_04,3.7935,2026-04-16T11:36:55.441773,4,11,211,moderate
250,7,tamarong_batt_supply_04,3.8810000000000002,2026-04-16T11:37:07.668963,4,11,211,moderate
251,7,tamarong_batt_supply_04,3.8455000000000004,2026-04-16T11:37:19.411372,4,11,212,moderate
252,7,tamarong_batt_supply_04,3.819,2026-04-16T11:37:32.154639,4,11,212,moderate
297,7,tamarong_batt_supply_04,2.5564999999999998,2026-04-16T13:22:38.605863,4,13,317,moderate
298,7,tamarong_batt_supply_04,2.688,2026-04-16T13:22:46.778212,4,13,317,moderate
299,7,tamarong_batt_supply_04,2.6710000000000003,2026-04-16T13:22:58.754985,4,13,317,moderate
300,7,tamarong_batt_supply_04,2.6275,2026-04-16T13:23:12.516575,4,13,317,moderate
301,7,tamarong_batt_supply_04,2.6535,2026-04-16T13:23:24.792847,4,13,318,moderate
302,7,tamarong_batt_supply_04,2.6,2026-04-16T13:23:37.018632,4,13,318,moderate
364,7,tamarong_batt_supply_04,2.3785,2026-04-16T15:52:36.777257,4,15,467,spoiled
365,7,tamarong_batt_supply_04,2.42,2026-04-16T15:52:50.354237,4,15,467,spoiled
366,7,tamarong_batt_supply_04,2.421,2026-04-16T15:53:05.249685,4,15,467,spoiled
367,7,tamarong_batt_supply_04,2.4210000000000003,2026-04-16T15:53:15.791502,4,15,467,spoiled
368,7,tamarong_batt_supply_04,2.36,2026-04-16T15:53:29.419366,4,15,468,spoiled
420,7,tamarong_batt_supply_04,1.862,2026-04-16T18:57:59.416608,4,18,652,spoiled
421,7,tamarong_batt_supply_04,1.703,2026-04-16T18:58:08.676560,4,18,652,spoiled
422,7,tamarong_batt_supply_04,1.752,2026-04-16T18:58:19.282601,4,18,653,spoiled
423,7,tamarong_batt_supply_04,1.8195000000000001,2026-04-16T18:58:28.022910,4,18,653,spoiled
424,7,tamarong_batt_supply_04,1.797,2026-04-16T18:58:37.230433,4,18,653,spoiled
478,7,tamarong_batt_supply_04,1.705,2026-04-16T23:26:08.104392,4,23,920,spoiled
479,7,tamarong_batt_supply_04,1.722,2026-04-16T23:26:30.338590,4,23,921,spoiled
480,7,tamarong_batt_supply_04,1.8,2026-04-16T23:26:39.329141,4,23,921,spoiled
481,7,tamarong_batt_supply_04,1.684,2026-04-16T23:26:49.154556,4,23,921,spoiled
